N,Answer,Time_sec
1000,977,0.001366
5000,1809,0.019761
10000,3617,0.059283
50000,34465,0.937604
100000,68929,3.80572
500000,475713,95.8879
1000000,951425,382.027


P.S.
----
Решение на классе Array
Предположим что у нас генерируется массив на заданные N-элементы
// k небудет влиять на решение с помощью класса array, но в теории должен будет при использовании линейного списка:
(current + k - 1) % list //
Для решения надо будет вызывать array(index), который будет сдвигать элементы массива на 1 N-1 количество раз
часто индекс будет находиться по середине массива
из за этого итоговая сложность будет
T(N) = O(N + N-1 + N-2 + ... + ??? 2) == O(N**2)
(N*(N+1))/2 - 1
----
